product name,value to be included in the spreadsheet
Enphase Energy: D380-72-240-S1x 240V [CEC 2009],Enphase_Energy__D380_72_240_S1x_240V__CEC_2009_
E-Village ( Original Mfg - PV Powered): EVS1100EVR 120V [CEC 2008],E_Village___Original_Mfg___PV_Powered___EVS1100EVR_120V__CEC_2008_
E-Village ( Original Mfg - PV Powered): EVS2000EVR 240V [CEC 2008],E_Village___Original_Mfg___PV_Powered___EVS2000EVR_240V__CEC_2008_
E-Village ( Original Mfg - PV Powered): EVS2500 240V [CEC 2006],E_Village___Original_Mfg___PV_Powered___EVS2500_240V__CEC_2006_
E-Village ( Original Mfg - PV Powered): EVS3000 240V [CEC 2008],E_Village___Original_Mfg___PV_Powered___EVS3000_240V__CEC_2008_
E-Village ( Original Mfg - PV Powered): EVS3500 240V [CEC 2006],E_Village___Original_Mfg___PV_Powered___EVS3500_240V__CEC_2006_
E-Village ( Original Mfg - PV Powered): EVS4600 208V [CEC 2005],E_Village___Original_Mfg___PV_Powered___EVS4600_208V__CEC_2005_
E-Village ( Original Mfg - PV Powered): EVS4800 240V [CEC 2006],E_Village___Original_Mfg___PV_Powered___EVS4800_240V__CEC_2006_
E-Village ( Original Mfg - PV Powered): EVS5200 240V [CEC 2005],E_Village___Original_Mfg___PV_Powered___EVS5200_240V__CEC_2005_
"EXELTECH, INC.: AC2-1-*-6-5-XX (where * = B, C, L, or 2) 120V [CEC 2010]",EXELTECH__INC___AC2_1_*_6_5_XX__where_*_=_B__C__L__or_2__120V__CEC_2010_
"EXELTECH, INC.: XLGT18A60 and XLGT18A60-01 120V [CEC 2010]",EXELTECH__INC___XLGT18A60_and_XLGT18A60_01_120V__CEC_2010_
"Fronius USA, LLC: CL 33.3 delta (208V) 208V [CEC 2010]",Fronius_USA__LLC__CL_33_3_delta__208V__208V__CEC_2010_
"Fronius USA, LLC: CL 33.3 delta (240V) 240V [CEC 2010]",Fronius_USA__LLC__CL_33_3_delta__240V__240V__CEC_2010_
"Fronius USA, LLC: CL 36.0 WYE (277V) 270V [CEC 2010]",Fronius_USA__LLC__CL_36_0_WYE__277V__270V__CEC_2010_
"Fronius USA, LLC: CL 44.4 delta (208V) 208V [CEC 2010]",Fronius_USA__LLC__CL_44_4_delta__208V__208V__CEC_2010_
"Fronius USA, LLC: CL 44.4 delta (240V) 240V [CEC 2010]",Fronius_USA__LLC__CL_44_4_delta__240V__240V__CEC_2010_
"Fronius USA, LLC: CL 48.0 WYE (277V) 277V [CEC 2010]",Fronius_USA__LLC__CL_48_0_WYE__277V__277V__CEC_2010_
"Fronius USA, LLC: CL 55.5 delta (208V) 208V [CEC 2010]",Fronius_USA__LLC__CL_55_5_delta__208V__208V__CEC_2010_
"Fronius USA, LLC: CL 55.5 delta (240V) 240V [CEC 2010]",Fronius_USA__LLC__CL_55_5_delta__240V__240V__CEC_2010_
"Fronius USA, LLC: CL 60.0 WYE (277V) 277V [CEC 2010]",Fronius_USA__LLC__CL_60_0_WYE__277V__277V__CEC_2010_
"Fronius USA, LLC: IG2000 NEG 240V [CEC 2006]",Fronius_USA__LLC__IG2000_NEG_240V__CEC_2006_
"Fronius USA, LLC: IG2000 POS 240V [CEC 2006]",Fronius_USA__LLC__IG2000_POS_240V__CEC_2006_
"Fronius USA, LLC: IG2500-LV NEG 208V [CEC 2006]",Fronius_USA__LLC__IG2500_LV_NEG_208V__CEC_2006_
"Fronius USA, LLC: IG2500-LV POS 208V [CEC 2006]",Fronius_USA__LLC__IG2500_LV_POS_208V__CEC_2006_
"Fronius USA, LLC: IG3000 NEG 240V [CEC 2006]",Fronius_USA__LLC__IG3000_NEG_240V__CEC_2006_
"Fronius USA, LLC: IG3000 POS 240V [CEC 2006]",Fronius_USA__LLC__IG3000_POS_240V__CEC_2006_
"Fronius USA, LLC: IG4000 NEG 240V [CEC 2006]",Fronius_USA__LLC__IG4000_NEG_240V__CEC_2006_
"Fronius USA, LLC: IG4000 POS 240V [CEC 2006]",Fronius_USA__LLC__IG4000_POS_240V__CEC_2006_
"Fronius USA, LLC: IG4500-LV NEG 208V [CEC 2006]",Fronius_USA__LLC__IG4500_LV_NEG_208V__CEC_2006_
"Fronius USA, LLC: IG4500-LV POS 208V [CEC 2006]",Fronius_USA__LLC__IG4500_LV_POS_208V__CEC_2006_
"Fronius USA, LLC: IG5100 NEG 240V [CEC 2006]",Fronius_USA__LLC__IG5100_NEG_240V__CEC_2006_
"Fronius USA, LLC: IG5100 POS 240V [CEC 2006]",Fronius_USA__LLC__IG5100_POS_240V__CEC_2006_
"Fronius USA, LLC: IG Plus 3.0-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_0_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.0-1 uni208) 208V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_0_1_uni208__208V__CEC_2010_
"Fronius USA, LLC: IG Plus 3.0-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_0_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.0-1 uni(240) 240V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_0_1_uni_240__240V__CEC_2010_
"Fronius USA, LLC: IG Plus 3.0-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_0_1_uni_277__277V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.0-1 uni(277) 277V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_0_1_uni_277__277V__CEC_2010_
"Fronius USA, LLC: IG Plus 3.8-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.8-1 uni(208) 208V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_208__208V__CEC_2010_
"Fronius USA, LLC: IG Plus 3.8-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.8-1 uni(240) 240V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_240__240V__CEC_2010_
"Fronius USA, LLC: IG Plus 3.8-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_277__277V__CEC_2008_
"Fronius USA, LLC: IG Plus 3.8-1 uni(277) 277V [CEC 2010]",Fronius_USA__LLC__IG_Plus_3_8_1_uni_277__277V__CEC_2010_
"Fronius USA, LLC: IG Plus 5.0-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 5.0-1 uni(208) 208V [CEC 2010]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_208__208V__CEC_2010_
"Fronius USA, LLC: IG Plus 5.0-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 5.0-1 uni(240) 240V [CEC 2010]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_240__240V__CEC_2010_
"Fronius USA, LLC: IG Plus 5.0-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_277__277V__CEC_2008_
"Fronius USA, LLC: IG Plus 5.0-1 uni(277) 277V [CEC 2010]",Fronius_USA__LLC__IG_Plus_5_0_1_uni_277__277V__CEC_2010_
"Fronius USA, LLC: IG Plus 6.0-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 6.0-1 uni(208) 208V [CEC 2010]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_208__208V__CEC_2010_
"Fronius USA, LLC: IG Plus 6.0-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 6.0-1 uni(240) 240V [CEC 2010]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_240__240V__CEC_2010_
"Fronius USA, LLC: IG Plus 6.0-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_277__277V__CEC_2008_
"Fronius USA, LLC: IG Plus 6.0-1 uni(277) 277V [CEC 2010]",Fronius_USA__LLC__IG_Plus_6_0_1_uni_277__277V__CEC_2010_
"Fronius USA, LLC: IG Plus 7.5-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 7.5-1 uni(208) 208V [CEC 2010]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_208__208V__CEC_2010_
"Fronius USA, LLC: IG Plus 7.5-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 7.5-1 uni(240) 240V [CEC 2010]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_240__240V__CEC_2010_
"Fronius USA, LLC: IG Plus 7.5-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_277__277V__CEC_2008_
"Fronius USA, LLC: IG Plus 7.5-1 uni(277) 277V [CEC 2010]",Fronius_USA__LLC__IG_Plus_7_5_1_uni_277__277V__CEC_2010_
"Fronius USA, LLC: IG Plus 10.0-1 uni(208) 208V [CEC 2008]",Fronius_USA__LLC__IG_Plus_10_0_1_uni_208__208V__CEC_2008_
"Fronius USA, LLC: IG Plus 10.0-1 uni(240) 240V [CEC 2008]",Fronius_USA__LLC__IG_Plus_10_0_1_uni_240__240V__CEC_2008_
"Fronius USA, LLC: IG Plus 10.0-1 uni(277) 277V [CEC 2008]",Fronius_USA__LLC__IG_Plus_10_0_1_uni_277__277V__CEC_2008_
