product name,value to be included in the spreadsheet
Schott Solar ASE-300-DGF-50 (290) [2007 (E)],Schott_Solar_ASE_300_DGF_50__290___2007__E__
Schott Solar ASE-300-DGF-50 (300) [1999 (E)],Schott_Solar_ASE_300_DGF_50__300___1999__E__
Schott Solar ASE-300-DGF-50 (300) [2007 (E)],Schott_Solar_ASE_300_DGF_50__300___2007__E__
Schott Solar ASE-300-DGF-50 (310) [2007 (E)],Schott_Solar_ASE_300_DGF_50__310___2007__E__
Schott Solar ASE-300-DGF-50 (320) [2007 (E)],Schott_Solar_ASE_300_DGF_50__320___2007__E__
Schott Solar ASE-50-ALF-17 [ 1997],Schott_Solar_ASE_50_ALF_17___1997_
Schott Solar ASE-50-ATF-17 (45) [1999 (E)],Schott_Solar_ASE_50_ATF_17__45___1999__E__
Schott Solar ASE-50-ATF-17 (50) [1999 (E)],Schott_Solar_ASE_50_ATF_17__50___1999__E__
Schott Solar SAPC 165 [ 2001],Schott_Solar_SAPC_165___2001_
Schott Solar SAPC 165 [2002 (E)],Schott_Solar_SAPC_165__2002__E__
Schott Solar SAPC 170 [2007 (E)],Schott_Solar_SAPC_170__2007__E__
Schott Solar SAPC 175 [2007 (E)],Schott_Solar_SAPC_175__2007__E__
Sharp ND-070ERU-LU [2003 (E)],Sharp_ND_070ERU_LU__2003__E__
Sharp ND-123U1 [2003 (E)],Sharp_ND_123U1__2003__E__
Sharp ND-160E1 [2004 (E)],Sharp_ND_160E1__2004__E__
Sharp ND-167U1 [2003 (E)],Sharp_ND_167U1__2003__E__
Sharp ND-167U1F [ 2006],Sharp_ND_167U1F___2006_
Sharp ND-167U1F [2006 (E)],Sharp_ND_167U1F__2006__E__
Sharp ND-187U1F [2007 (E)],Sharp_ND_187U1F__2007__E__
Sharp ND-208U1 [2005 (E)],Sharp_ND_208U1__2005__E__
Sharp ND-208U1F [2006 (E)],Sharp_ND_208U1F__2006__E__
Sharp ND-216U1F [2008 (E)],Sharp_ND_216U1F__2008__E__
Sharp ND-216U2 [2007 (E)],Sharp_ND_216U2__2007__E__
Sharp ND-L3E1U [2002 (E)],Sharp_ND_L3E1U__2002__E__
Sharp ND-L3E6E [2004 (E)],Sharp_ND_L3E6E__2004__E__
Sharp ND-NOECU [2003 (E)],Sharp_ND_NOECU__2003__E__
Sharp ND-Q0E2U [2002 (E)],Sharp_ND_Q0E2U__2002__E__
Sharp NE-165U1 [2004 (E)],Sharp_NE_165U1__2004__E__
Sharp NE-170U1 [2007 (E)],Sharp_NE_170U1__2007__E__
Sharp NE-80E1U [2002 (E)],Sharp_NE_80E1U__2002__E__
Sharp NE-H120E1 [ 2001],Sharp_NE_H120E1___2001_
Sharp NE-H120E1 [2002 (E)],Sharp_NE_H120E1__2002__E__
Sharp NE-K125U2 [2002 (E)],Sharp_NE_K125U2__2002__E__
Sharp NE-Q5E2U [2002 (E)],Sharp_NE_Q5E2U__2002__E__
Sharp NT-175U1 [2007 (E)],Sharp_NT_175U1__2007__E__
Sharp NT-185U1 [2003 (E)],Sharp_NT_185U1__2003__E__
Sharp NT-5AE3D [ 2004],Sharp_NT_5AE3D___2004_
Sharp NT-R5E1U [2002 (E)],Sharp_NT_R5E1U__2002__E__
Sharp NT-S5E1U [2003 (E)],Sharp_NT_S5E1U__2003__E__
Shell Solar S10 [2003 (E)],Shell_Solar_S10__2003__E__
Shell Solar S105 [2002 (E)],Shell_Solar_S105__2002__E__
Shell Solar S115 [2002 (E)],Shell_Solar_S115__2002__E__
Shell Solar S165 [ 2002],Shell_Solar_S165___2002_
Shell Solar S25 [2002 (E)],Shell_Solar_S25__2002__E__
Shell Solar S36 [2003 (E)],Shell_Solar_S36__2003__E__
Shell Solar S65 [2003 (E)],Shell_Solar_S65__2003__E__
Shell Solar S70-C [2003 (E)],Shell_Solar_S70_C__2003__E__
Shell Solar S75-C [2003 (E)],Shell_Solar_S75_C__2003__E__
Shell Solar S80 [ 2002],Shell_Solar_S80___2002_
Shell Solar SM10 [1999 (E)],Shell_Solar_SM10__1999__E__
Shell Solar SM100-12 [2003 (E)],Shell_Solar_SM100_12__2003__E__
Shell Solar SM100-24 [2003 (E)],Shell_Solar_SM100_24__2003__E__
Shell Solar SM110-12 [2003 (E)],Shell_Solar_SM110_12__2003__E__
Shell Solar SM110-24 [2003 (E)],Shell_Solar_SM110_24__2003__E__
Shell Solar SM20 [1999 (E)],Shell_Solar_SM20__1999__E__
Shell Solar SM46 [2002 (E)],Shell_Solar_SM46__2002__E__
Shell Solar SM50 [1999 (E)],Shell_Solar_SM50__1999__E__
Shell Solar SM50-H [2002 (E)],Shell_Solar_SM50_H__2002__E__
Shell Solar SM55 [ 1997],Shell_Solar_SM55___1997_
Shell Solar SM55 [2002 (E)],Shell_Solar_SM55__2002__E__
Shell Solar SM6 [ 1997],Shell_Solar_SM6___1997_
Shell Solar SM6 [1999 (E)],Shell_Solar_SM6__1999__E__
Shell Solar SP130 [ 2001],Shell_Solar_SP130___2001_
Shell Solar SP130 [2001 (E)],Shell_Solar_SP130__2001__E__
