product name,value to be included in the spreadsheet
ABB: PVI-CENTRAL-100-US [480V],ABB__PVI_CENTRAL_100_US__480V_
ABB: PVI-CENTRAL-250-US [480V],ABB__PVI_CENTRAL_250_US__480V_
ABB: PVI-CENTRAL-300-US [480V],ABB__PVI_CENTRAL_300_US__480V_
ABB: PVI-CENTRAL-50-US [208V],ABB__PVI_CENTRAL_50_US__208V_
ABB: PVI-CENTRAL-50-US [480V],ABB__PVI_CENTRAL_50_US__480V_
ABB: PVS980-58-1818kVA-I [600V],ABB__PVS980_58_1818kVA_I__600V_
ABB: PVS980-58-2000kVA-K [660V],ABB__PVS980_58_2000kVA_K__660V_
ABB: TRIO-20.0-TL-OUTD-S-US-480 [480V],ABB__TRIO_20_0_TL_OUTD_S_US_480__480V_
ABB: TRIO-20.0-TL-OUTD-S-US-480-A [480V],ABB__TRIO_20_0_TL_OUTD_S_US_480_A__480V_
ABB: TRIO-20.0-TL-OUTD-S1-US-480 [480V],ABB__TRIO_20_0_TL_OUTD_S1_US_480__480V_
ABB: TRIO-20.0-TL-OUTD-S1-US-480-A [480V],ABB__TRIO_20_0_TL_OUTD_S1_US_480_A__480V_
ABB: TRIO-20.0-TL-OUTD-S1A-US-480 [480V],ABB__TRIO_20_0_TL_OUTD_S1A_US_480__480V_
ABB: TRIO-20.0-TL-OUTD-S1A-US-480-A [480V],ABB__TRIO_20_0_TL_OUTD_S1A_US_480_A__480V_
ABB: TRIO-20.0-TL-OUTD-S1B-US-480 [480V],ABB__TRIO_20_0_TL_OUTD_S1B_US_480__480V_
ABB: TRIO-20.0-TL-OUTD-S1B-US-480-A [480V],ABB__TRIO_20_0_TL_OUTD_S1B_US_480_A__480V_
ABB: TRIO-27.6-TL-OUTD-S-US-480 [480V],ABB__TRIO_27_6_TL_OUTD_S_US_480__480V_
ABB: TRIO-27.6-TL-OUTD-S-US-480-A [480V],ABB__TRIO_27_6_TL_OUTD_S_US_480_A__480V_
ABB: TRIO-27.6-TL-OUTD-S1-US-480 [480V],ABB__TRIO_27_6_TL_OUTD_S1_US_480__480V_
ABB: TRIO-27.6-TL-OUTD-S1-US-480-A [480V],ABB__TRIO_27_6_TL_OUTD_S1_US_480_A__480V_
