,dhi,dirhi,pressure,temp_air,v_wind,z0
11.01.2012 00:00,0,0,1002330,795,155952,15
11.01.2012 01:00,0,0,1002520,8266666667,158649,15
11.01.2012 02:00,0,0,1002530,77,179226,15
11.01.2012 03:00,0,0,1002530,7533333333,18267,15
11.01.2012 04:00,0,0,1002600,7766666667,168611,15
11.01.2012 05:00,0,0,1002640,7916666667,168469,15
11.01.2012 06:00,0,0,1002580,8183333333,175722,15
11.01.2012 07:00,0,0,1002520,8383333333,185244,15
11.01.2012 08:00,37,0,1002590,8433333333,180051,15
11.01.2012 09:00,101,4,1002570,8833333333,182576,15
11.01.2012 10:00,193,3,1002480,9366666667,201855,15
11.01.2012 11:00,155,2,1002380,9616666667,213799,15
11.01.2012 12:00,75,0,1002360,96,200769,15
11.01.2012 13:00,35,0,1002580,9566666667,180917,15
11.01.2012 14:00,19,0,1002950,9483333333,142653,15
11.01.2012 15:00,0,0,1003160,9283333333,134362,15
11.01.2012 16:00,0,0,1003450,9066666667,146702,15
11.01.2012 17:00,0,0,1003780,8633333333,163866,15
11.01.2012 18:00,0,0,1004030,885,186246,15
11.01.2012 19:00,0,0,1004190,8683333333,190547,15
11.01.2012 20:00,0,0,1004360,8433333333,182308,15
11.01.2012 21:00,0,0,1004420,8783333333,172118,15
11.01.2012 22:00,0,0,1004740,8983333333,174138,15
11.01.2012 23:00,0,0,1005080,8766666667,18003,15
12.01.2012 00:00,0,0,1005410,865,184148,15
12.01.2012 01:00,0,0,1005830,875,192741,15
12.01.2012 02:00,0,0,1006220,8683333333,193418,15
12.01.2012 03:00,0,0,1006300,8433333333,187651,15
12.01.2012 04:00,0,0,1006260,8133333333,182044,15
12.01.2012 05:00,0,0,1006200,785,169131,15
12.01.2012 06:00,0,0,1006270,7616666667,146427,15
12.01.2012 07:00,0,0,1006400,7783333333,149276,15
12.01.2012 08:00,27,0,1006180,7833333333,161151,15
12.01.2012 09:00,72,0,1005770,8183333333,157282,15
12.01.2012 10:00,115,1,1005340,85,146438,15
12.01.2012 11:00,109,1,1005010,9016666667,136613,15
12.01.2012 12:00,21,0,1004740,8233333333,162996,15
12.01.2012 13:00,16,0,1004400,825,188521,15
12.01.2012 14:00,3,0,1004100,8516666667,194913,15
12.01.2012 15:00,0,0,1003970,84,202281,15
12.01.2012 16:00,0,0,1003830,805,213853,15
12.01.2012 17:00,0,0,1003550,7966666667,223099,15
12.01.2012 18:00,0,0,1003170,7183333333,234126,15
12.01.2012 19:00,0,0,1002750,66,248999,15
12.01.2012 20:00,0,0,1002330,6183333333,258668,15
12.01.2012 21:00,0,0,1001780,5516666667,282234,15
12.01.2012 22:00,0,0,1001150,49,313555,15
12.01.2012 23:00,0,0,1000700,43,319344,15
13.01.2012 00:00,0,0,1000390,34,335703,15
13.01.2012 01:00,0,0,1000130,33,330739,15
13.01.2012 02:00,0,0,999938,345,310984,15
13.01.2012 03:00,0,0,999808,3833333333,29885,15
13.01.2012 04:00,0,0,999575,4083333333,314098,15
13.01.2012 05:00,0,0,999199,3766666667,351851,15
13.01.2012 06:00,0,0,998747,3883333333,352321,15
13.01.2012 07:00,1,0,998457,3733333333,362597,15
13.01.2012 08:00,53,10,998204,3966666667,375982,15
13.01.2012 09:00,107,26,997900,4566666667,368256,15
13.01.2012 10:00,146,59,997745,535,363385,15
13.01.2012 11:00,154,159,997852,6083333333,370876,15
13.01.2012 12:00,167,54,998041,6283333333,388128,15
13.01.2012 13:00,95,8,998112,6033333333,399185,15
13.01.2012 14:00,98,52,998193,6066666667,421296,15
13.01.2012 15:00,22,0,998224,535,429547,15
13.01.2012 16:00,0,0,998453,5016666667,429304,15
13.01.2012 17:00,0,0,998525,5066666667,421062,15
13.01.2012 18:00,0,0,998575,5,417036,15
13.01.2012 19:00,0,0,998701,47,392328,15
13.01.2012 20:00,0,0,998701,4033333333,385854,15
13.01.2012 21:00,0,0,998552,345,372801,15
13.01.2012 22:00,0,0,998403,3316666667,352693,15
13.01.2012 23:00,0,0,998406,37,319396,15
14.01.2012 00:00,0,0,998451,405,30288,15
14.01.2012 01:00,0,0,998389,4,284059,15
14.01.2012 02:00,0,0,998343,3633333333,274109,15
14.01.2012 03:00,0,0,998595,3016666667,282659,15
14.01.2012 04:00,0,0,998721,2416666667,271758,15
14.01.2012 05:00,0,0,998757,2233333333,257865,15
14.01.2012 06:00,0,0,998871,255,25949,15
14.01.2012 07:00,1,0,999066,28,257361,15
14.01.2012 08:00,64,8,999187,2916666667,238848,15
14.01.2012 09:00,105,4,999086,405,234113,15
14.01.2012 10:00,156,60,998957,4716666667,248199,15
14.01.2012 11:00,141,173,998951,5966666667,245764,15
14.01.2012 12:00,179,105,998971,6233333333,240889,15
14.01.2012 13:00,136,8,999103,6083333333,245508,15
14.01.2012 14:00,35,0,999586,5766666667,251699,15
14.01.2012 15:00,13,0,1000180,54,26615,15
14.01.2012 16:00,0,0,1000620,52,280389,15
14.01.2012 17:00,0,0,1001020,48,271459,15
14.01.2012 18:00,0,0,1001540,3533333333,262107,15
14.01.2012 19:00,0,0,1002090,2566666667,245935,15
